ADM2_PCODE;seeded;harvested;production;yield
AR086042;104000;104000;249600;2400
AR086049;4000;4000;11200;2800
AR086056;8500;8370;22599;2700
AR086063;6000;6000;15000;2500
AR086070;1000;1000;2000;2000
AR086077;195000;195000;526500;2700
AR086084;5000;5000;12500;2500
AR086091;65000;65000;195000;3000
AR086098;80000;78850;165585;2100
AR086105;2500;2500;6250;2500
AR086112;15000;15000;22500;1500
AR086119;240000;235850;660380;2800
AR086133;35000;35000;105000;3000
AR086147;12000;12000;36000;3000
AR086154;24000;22380;35808;1600
AR086161;3500;3500;10500;3000
AR086175;2500;2500;5000;2000
AR086182;500;500;2550;5100
AR086189;4000;4000;12000;3000
AR090007;68000;67100;181170;2700
AR090014;32500;32170;90076;2800
AR090021;450;450;1305;2900
AR090028;750;750;2250;3000
AR090035;24300;23950;57480;2400
AR090042;2000;2000;5800;2900
AR090049;25000;24590;61475;2500
AR090056;30500;30010;78026;2600
AR090063;1000;1000;2900;2900
AR090070;400;400;1160;2900
AR090077;400;400;1160;2900
AR090091;3300;3300;8580;2600
AR090098;200;200;580;2900
;;;;
;696100;669100;1706633;5100
